dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
512,2,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.6701167003484443
512,2,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),1.1248374998103827
512,2,silu,float16,False,MLP,mps,Forward Time (ms),0.7978708003065549
512,2,silu,float16,False,MLP,mps,Backward Time (ms),1.1546291992999613
512,2,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.731170798826497
512,2,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),1.0553750020335428
512,2,silu,bfloat16,False,MLP,mps,Forward Time (ms),1.0545417011599056
512,2,silu,bfloat16,False,MLP,mps,Backward Time (ms),1.9537291984306648
512,2,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),1.0767624989966862
512,2,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),1.776220800820738
512,4,relu,float32,False,MLP,mps,Forward Time (ms),1.1513584002386779
512,4,relu,float32,False,MLP,mps,Backward Time (ms),2.442920798785053
512,4,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.202120800735429
512,4,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),2.2337250993587077
512,4,relu,float16,False,MLP,mps,Forward Time (ms),1.3509417010936886
512,4,relu,float16,False,MLP,mps,Backward Time (ms),2.2950915998080745
512,4,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.3527375005651265
512,4,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),2.2821874998044223
512,4,relu,bfloat16,False,MLP,mps,Forward Time (ms),2.18303330038907
512,4,relu,bfloat16,False,MLP,mps,Backward Time (ms),4.357424999761861
512,4,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.3038291998091154
512,4,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),4.360233299667016
512,4,relu2,float32,False,MLP,mps,Forward Time (ms),1.7940166013431735
512,4,relu2,float32,False,MLP,mps,Backward Time (ms),3.4892333977040835
512,4,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.404908299446106
512,4,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),2.7919708998524584
512,4,relu2,float16,False,MLP,mps,Forward Time (ms),1.9116124996799044
512,4,relu2,float16,False,MLP,mps,Backward Time (ms),3.166766600043047
512,4,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.5790874997037463
512,4,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),2.7226582998991944
512,4,relu2,bfloat16,False,MLP,mps,Forward Time (ms),3.0038541997782886
512,4,relu2,bfloat16,False,MLP,mps,Backward Time (ms),5.136412399588153
512,4,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.5397249992238358
512,4,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),4.570454200438689
512,4,silu,float32,False,MLP,mps,Forward Time (ms),1.5342208003858104
512,4,silu,float32,False,MLP,mps,Backward Time (ms),2.88883749890374
512,4,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.5140207993681543
512,4,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),3.0151875005685724
512,4,silu,float16,False,MLP,mps,Forward Time (ms),1.7895083990879357
512,4,silu,float16,False,MLP,mps,Backward Time (ms),2.9688041016925126
