dim,activation,dtype,competitor,measurement,value
4096,silu,float16,CompiledGatedMLP,Forward Time (ms),4.811275002430193
4096,silu,float16,CompiledGatedMLP,Backward Time (ms),32.574195897905156
4096,silu,bfloat16,GatedMLP,Forward Time (ms),4.959712500567548
4096,silu,bfloat16,GatedMLP,Backward Time (ms),33.88524170150049
4096,silu,bfloat16,CompiledGatedMLP,Forward Time (ms),5.006008400232531
4096,silu,bfloat16,CompiledGatedMLP,Backward Time (ms),33.79495409899391
4096,silu,float32,GatedMLP,Forward Time (ms),8.851212498848327
4096,silu,float32,GatedMLP,Backward Time (ms),51.574845801224
4096,silu,float32,CompiledGatedMLP,Forward Time (ms),8.795191702665761
4096,silu,float32,CompiledGatedMLP,Backward Time (ms),50.336633299593814
4096,relu2,float16,GatedMLP,Forward Time (ms),4.777262499555945
4096,relu2,float16,GatedMLP,Backward Time (ms),33.4139167011017
4096,relu2,float16,CompiledGatedMLP,Forward Time (ms),4.772970802150667
4096,relu2,float16,CompiledGatedMLP,Backward Time (ms),32.613312496687286
4096,relu2,bfloat16,GatedMLP,Forward Time (ms),5.019037501187995
4096,relu2,bfloat16,GatedMLP,Backward Time (ms),33.87303749623243
4096,relu2,bfloat16,CompiledGatedMLP,Forward Time (ms),4.985558398766443
4096,relu2,bfloat16,CompiledGatedMLP,Backward Time (ms),34.024383302312344
4096,relu2,float32,GatedMLP,Forward Time (ms),8.762291600578465
4096,relu2,float32,GatedMLP,Backward Time (ms),52.79283749696333
4096,relu2,float32,CompiledGatedMLP,Forward Time (ms),8.624249999411404
4096,relu2,float32,CompiledGatedMLP,Backward Time (ms),50.07373750268016
