dim,activation,dtype,competitor,measurement,value
2048,relu,float32,MLP,Backward Time (ms),8.019320899620652
2048,relu,float32,PreCompiledMLP,Forward Time (ms),1.587899999867659
2048,relu,float32,PreCompiledMLP,Backward Time (ms),8.304333400155883
2048,silu,float16,MLP,Forward Time (ms),0.9125832999416161
2048,silu,float16,MLP,Backward Time (ms),5.78601669985801
2048,silu,float16,PreCompiledMLP,Forward Time (ms),0.9233791999577079
2048,silu,float16,PreCompiledMLP,Backward Time (ms),5.746529199677752
2048,silu,bfloat16,MLP,Forward Time (ms),0.9069291998457629
2048,silu,bfloat16,MLP,Backward Time (ms),6.057033300749026
2048,silu,bfloat16,PreCompiledMLP,Forward Time (ms),1.0080332998768426
2048,silu,bfloat16,PreCompiledMLP,Backward Time (ms),6.045408399950247
2048,silu,float32,MLP,Forward Time (ms),1.5490416997636203
2048,silu,float32,MLP,Backward Time (ms),8.200624900200637
2048,silu,float32,PreCompiledMLP,Forward Time (ms),1.5818708001461346
2048,silu,float32,PreCompiledMLP,Backward Time (ms),8.205554199957987
2048,relu2,float16,MLP,Forward Time (ms),0.9130791004281491
2048,relu2,float16,MLP,Backward Time (ms),5.8552083995891735
2048,relu2,float16,PreCompiledMLP,Forward Time (ms),0.9172707999823615
2048,relu2,float16,PreCompiledMLP,Backward Time (ms),5.838204199972097
2048,relu2,bfloat16,MLP,Forward Time (ms),0.9147958000539802
2048,relu2,bfloat16,MLP,Backward Time (ms),6.10357080004178
2048,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.910283399571199
2048,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),6.09842080011731
2048,relu2,float32,MLP,Forward Time (ms),1.5538916995865293
2048,relu2,float32,MLP,Backward Time (ms),8.25143330002902
2048,relu2,float32,PreCompiledMLP,Forward Time (ms),1.5593625001201872
2048,relu2,float32,PreCompiledMLP,Backward Time (ms),8.2244459001231
4096,relu,float16,MLP,Forward Time (ms),4.0597667000838555
4096,relu,float16,MLP,Backward Time (ms),22.939604099519784
4096,relu,float16,PreCompiledMLP,Forward Time (ms),3.259829099988565
4096,relu,float16,PreCompiledMLP,Backward Time (ms),23.471204200177453
4096,relu,bfloat16,MLP,Forward Time (ms),3.567683300207136
4096,relu,bfloat16,MLP,Backward Time (ms),23.45346250003786
4096,relu,bfloat16,PreCompiledMLP,Forward Time (ms),3.3507874999486376
4096,relu,bfloat16,PreCompiledMLP,Backward Time (ms),24.11212910010363
4096,relu,float32,MLP,Forward Time (ms),6.268304100376554
4096,relu,float32,MLP,Backward Time (ms),35.276329199405154
4096,relu,float32,PreCompiledMLP,Forward Time (ms),6.194029100151965
4096,relu,float32,PreCompiledMLP,Backward Time (ms),34.45442499942146
4096,silu,float16,MLP,Forward Time (ms),3.3391249999112915
4096,silu,float16,MLP,Backward Time (ms),23.789158300496638
4096,silu,float16,PreCompiledMLP,Forward Time (ms),3.490112500003306
4096,silu,float16,PreCompiledMLP,Backward Time (ms),23.170699999900535
4096,silu,bfloat16,MLP,Forward Time (ms),3.345241599890869
4096,silu,bfloat16,MLP,Backward Time (ms),23.685883400321472
4096,silu,bfloat16,PreCompiledMLP,Forward Time (ms),3.4319833997869864
