dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
512,4,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.9928832994773984
512,4,relu2,float32,False,GatedMLP,mps,Backward Time (ms),1.5373083006124943
512,4,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.7303165999474004
512,4,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.1740709000150673
512,4,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.9078583010705188
512,4,relu2,float16,False,GatedMLP,mps,Backward Time (ms),1.164120898465626
512,4,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.7585375002236106
512,4,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.0565791992121376
512,4,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),1.2844750002841465
512,4,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.8217207994894125
512,4,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.1362834004103206
512,4,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.7146290992968716
512,4,silu,float32,False,GatedMLP,mps,Forward Time (ms),0.9728958000778221
512,4,silu,float32,False,GatedMLP,mps,Backward Time (ms),1.063520900788717
512,4,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.7515666002291255
512,4,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.2078416999429464
512,4,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.8341209002537653
512,4,silu,float16,False,GatedMLP,mps,Backward Time (ms),1.1100457995780744
512,4,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.789737499144394
512,4,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.0567416000412777
512,4,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),1.1980833995039575
512,4,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.7598249003640376
512,4,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.1608208005782217
512,4,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.9234751001931727
512,8,relu,float32,False,GatedMLP,mps,Forward Time (ms),1.241295799263753
512,8,relu,float32,False,GatedMLP,mps,Backward Time (ms),2.4557001001085155
