dim,activation,dtype,fp8,competitor,measurement,value
512,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),1.0854916006792337
512,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.39450839976780117
512,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.1196374020073563
512,silu,float32,False,GatedFP8MLP,Forward Time (ms),0.28068329847883433
512,silu,float32,False,GatedFP8MLP,Backward Time (ms),0.858241700916551
512,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.3504291991703212
512,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.8686708024470136
512,relu2,float16,False,GatedFP8MLP,Forward Time (ms),0.4173916997388005
512,relu2,float16,False,GatedFP8MLP,Backward Time (ms),1.3244123983895406
512,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.3996250015916303
512,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.165087500703521
512,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.4050540999742225
512,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),1.0918291984125972
512,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.40352500218432397
512,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.092716699349694
512,relu2,float32,False,GatedFP8MLP,Forward Time (ms),0.2812958002323285
512,relu2,float32,False,GatedFP8MLP,Backward Time (ms),0.805495900567621
512,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.34694999922066927
512,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.8000625006388873
1024,relu,float16,False,GatedFP8MLP,Forward Time (ms),1.3921750010922551
1024,relu,float16,False,GatedFP8MLP,Backward Time (ms),3.872958300053142
1024,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.391708297887817
1024,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),3.791562601691112
1024,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),1.3435917004244402
1024,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),4.012874999898486
1024,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.3432749983621761
1024,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),3.967545903287828
1024,relu,float32,False,GatedFP8MLP,Forward Time (ms),0.747083401074633
1024,relu,float32,False,GatedFP8MLP,Backward Time (ms),2.883633298915811
1024,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.7844667008612305
1024,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),2.8955332993064076
1024,silu,float16,False,GatedFP8MLP,Forward Time (ms),1.3293124997289851
1024,silu,float16,False,GatedFP8MLP,Backward Time (ms),3.8414749986259267
1024,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.4576416986528784
1024,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),3.848629101412371
1024,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),1.3612166978418827
1024,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),4.031229100655764
1024,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.3672208006028086
1024,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),4.029399997671135
1024,silu,float32,False,GatedFP8MLP,Forward Time (ms),0.749250000808388
1024,silu,float32,False,GatedFP8MLP,Backward Time (ms),2.8770791977876797
1024,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.7997999986400828
1024,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),2.8736458014464006
1024,relu2,float16,False,GatedFP8MLP,Forward Time (ms),1.3523917004931718
1024,relu2,float16,False,GatedFP8MLP,Backward Time (ms),4.049666598439217
1024,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.3577292003901675
1024,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),3.9123541995650157
1024,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),1.3775208994047716
1024,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),4.036679101409391
1024,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),1.3739374990109354
1024,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),4.048995900666341
1024,relu2,float32,False,GatedFP8MLP,Forward Time (ms),0.7513000018661842
1024,relu2,float32,False,GatedFP8MLP,Backward Time (ms),2.9378624982200563
1024,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.8024459006264806
1024,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),2.9230083018774167
2048,relu,float16,False,GatedFP8MLP,Forward Time (ms),4.676437500165775
2048,relu,float16,False,GatedFP8MLP,Backward Time (ms),14.2514208011562
2048,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.695608300971799
2048,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.248604199383408
2048,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),4.721933300606906
2048,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),14.836704198387451
2048,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.723650001687929
2048,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.790220800205134
2048,relu,float32,False,GatedFP8MLP,Forward Time (ms),2.2821416991064325
2048,relu,float32,False,GatedFP8MLP,Backward Time (ms),10.972529099672101
2048,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),2.2924666001927108
2048,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),10.951066698180512
2048,silu,float16,False,GatedFP8MLP,Forward Time (ms),4.68774999899324
2048,silu,float16,False,GatedFP8MLP,Backward Time (ms),14.245954202488065
2048,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.677591699874029
2048,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.337229199009016
2048,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),4.790524998679757
2048,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),14.739283302333206
2048,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.725899998447858
2048,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.822562501649372
2048,silu,float32,False,GatedFP8MLP,Forward Time (ms),2.282779201050289
2048,silu,float32,False,GatedFP8MLP,Backward Time (ms),10.918891697656363
2048,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),2.2959249996347353
2048,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),10.88336669781711
2048,relu2,float16,False,GatedFP8MLP,Forward Time (ms),4.68948750058189
2048,relu2,float16,False,GatedFP8MLP,Backward Time (ms),14.363554198644124
2048,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.712345899315551
2048,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.274624999961816
2048,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),4.739212500862777
2048,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),14.842449998832308
2048,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),4.7315375006292015
