dim,activation,dtype,fp8,competitor,measurement,value
128,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.2384541992796585
128,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.48397500067949295
128,relu2,float32,False,FP8MLP,Forward Time (ms),0.15505000192206353
128,relu2,float32,False,FP8MLP,Backward Time (ms),0.44377500016707927
128,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.17318750033155084
128,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.4489582992391661
512,relu,float16,False,FP8MLP,Forward Time (ms),0.28037920128554106
512,relu,float16,False,FP8MLP,Backward Time (ms),2.472941597807221
512,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.27802919794339687
512,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.8183625031961128
512,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.2819832996465266
512,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.8789334009634331
512,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.27558339934330434
512,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.9021083009429276
512,relu,float32,False,FP8MLP,Forward Time (ms),0.20601660071406513
512,relu,float32,False,FP8MLP,Backward Time (ms),0.7100583985447884
512,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.25512500142212957
512,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.696124997921288
512,silu,float16,False,FP8MLP,Forward Time (ms),0.2865042013581842
512,silu,float16,False,FP8MLP,Backward Time (ms),1.194495800882578
512,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.31959579791873693
512,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.1606334010139108
512,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.35619999980553985
512,silu,bfloat16,False,FP8MLP,Backward Time (ms),1.233150000916794
512,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.3551375004462898
512,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.2215666007250547
512,silu,float32,False,FP8MLP,Forward Time (ms),0.20752919954247773
512,silu,float32,False,FP8MLP,Backward Time (ms),0.8541707997210324
512,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.2601708984002471
512,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.8327916031703353
512,relu2,float16,False,FP8MLP,Forward Time (ms),0.3363708994584158
512,relu2,float16,False,FP8MLP,Backward Time (ms),1.2298040994210169
512,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.32961250108201057
512,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.2230916996486485
512,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.3682832990307361
512,relu2,bfloat16,False,FP8MLP,Backward Time (ms),1.1689625011058524
512,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.27215839945711195
512,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.8670540992170572
512,relu2,float32,False,FP8MLP,Forward Time (ms),0.2326584013644606
512,relu2,float32,False,FP8MLP,Backward Time (ms),0.6246790988370776
512,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.2647167013492435
512,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.6457666982896626
1024,relu,float16,False,FP8MLP,Forward Time (ms),1.0412750008981675
1024,relu,float16,False,FP8MLP,Backward Time (ms),2.897545797168277
1024,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.91190840175841
1024,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.579783197143115
1024,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.9209792013280094
1024,relu,bfloat16,False,FP8MLP,Backward Time (ms),2.6901124976575375
1024,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.9340250020613894
1024,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.6604749989928678
1024,relu,float32,False,FP8MLP,Forward Time (ms),0.5148291995283216
1024,relu,float32,False,FP8MLP,Backward Time (ms),1.983295800164342
1024,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5609000014374033
1024,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.941345797968097
1024,silu,float16,False,FP8MLP,Forward Time (ms),0.9538249985780567
1024,silu,float16,False,FP8MLP,Backward Time (ms),2.573787499568425
1024,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.9184166992781684
1024,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.5910416996339336
1024,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.9194291982566938
1024,silu,bfloat16,False,FP8MLP,Backward Time (ms),2.734804101055488
1024,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.9278541983803734
1024,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.6817542006028816
1024,silu,float32,False,FP8MLP,Forward Time (ms),0.5069749982794747
1024,silu,float32,False,FP8MLP,Backward Time (ms),1.9899833016097546
1024,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5512749979970977
1024,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.9515792024321854
1024,relu2,float16,False,FP8MLP,Forward Time (ms),0.9257958008674905
1024,relu2,float16,False,FP8MLP,Backward Time (ms),2.659891697112471
1024,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.931870800559409
1024,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.6197125000180677
1024,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.9473707992583513
1024,relu2,bfloat16,False,FP8MLP,Backward Time (ms),2.7377499995054677
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.9467583993682638
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.7176874020369723
1024,relu2,float32,False,FP8MLP,Forward Time (ms),0.5421583016868681
1024,relu2,float32,False,FP8MLP,Backward Time (ms),1.987370799179189
1024,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.580741697922349
1024,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.9690292014274746
2048,relu,float16,False,FP8MLP,Forward Time (ms),3.1685291993198916
2048,relu,float16,False,FP8MLP,Backward Time (ms),9.518170799128711
2048,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),3.131474999827333
2048,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),9.672829098417424
2048,relu,bfloat16,False,FP8MLP,Forward Time (ms),3.5390000004554167
2048,relu,bfloat16,False,FP8MLP,Backward Time (ms),9.663083299528807
2048,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),3.1542957993224263
2048,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),9.993075000238605
2048,relu,float32,False,FP8MLP,Forward Time (ms),1.5504375012824312
2048,relu,float32,False,FP8MLP,Backward Time (ms),7.456637499853969
2048,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.5693291992647573
2048,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),7.450954100931995
2048,silu,float16,False,FP8MLP,Forward Time (ms),3.1321832997491583
2048,silu,float16,False,FP8MLP,Backward Time (ms),9.624770900700241
2048,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),3.2597416982753202
2048,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),9.813945801579393
2048,silu,bfloat16,False,FP8MLP,Forward Time (ms),3.169908298877999
2048,silu,bfloat16,False,FP8MLP,Backward Time (ms),9.918300100252964
2048,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),3.1505416001891717
2048,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),9.954650100553408
2048,silu,float32,False,FP8MLP,Forward Time (ms),1.552554199588485
2048,silu,float32,False,FP8MLP,Backward Time (ms),7.437770802062005
2048,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.5716499998234212
2048,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),7.486845800303854
2048,relu2,float16,False,FP8MLP,Forward Time (ms),3.14196250110399
2048,relu2,float16,False,FP8MLP,Backward Time (ms),9.601712500443682
2048,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),3.144829100347124
2048,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),9.622687599039637
