dim,activation,dtype,fp8,competitor,measurement,value
1024,relu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.066322944
1024,relu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.3010560035705566
1024,relu,bfloat16,False,FP8MLP,Backward Time (ms),1.1487584114074707
1024,relu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.066322944
1024,relu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.5730239868164062
1024,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.960416030883789
1024,relu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.066322944
1024,relu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu2,float32,False,FP8MLP,Forward Time (ms),0.359935998916626
1024,relu2,float32,False,FP8MLP,Backward Time (ms),1.0818303585052491
1024,relu2,float32,False,FP8MLP,Forward Peak Memory (GB),0.08834304
1024,relu2,float32,False,FP8MLP,Backward Peak Memory (GB),0.121897984
1024,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.4323999881744385
1024,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.036016035079956
1024,relu2,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.073662976
1024,relu2,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.09673216
1024,relu2,float16,False,FP8MLP,Forward Time (ms),0.3852288007736206
1024,relu2,float16,False,FP8MLP,Backward Time (ms),1.4666751146316528
1024,relu2,float16,False,FP8MLP,Forward Peak Memory (GB),0.074711552
1024,relu2,float16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.60764479637146
1024,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.0033951282501221
1024,relu2,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.070517248
1024,relu2,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.3717504024505615
1024,relu2,bfloat16,False,FP8MLP,Backward Time (ms),1.460595178604126
1024,relu2,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.074711552
1024,relu2,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.6542655944824218
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.832374382019043
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.070517248
1024,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
1024,silu,float32,False,FP8MLP,Forward Time (ms),0.36925439834594725
1024,silu,float32,False,FP8MLP,Backward Time (ms),0.7700480461120605
1024,silu,float32,False,FP8MLP,Forward Peak Memory (GB),0.073662976
1024,silu,float32,False,FP8MLP,Backward Peak Memory (GB),0.098829312
1024,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5681856155395508
1024,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.8138175964355467
1024,silu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.073662976
1024,silu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.09673216
1024,silu,float16,False,FP8MLP,Forward Time (ms),0.28774399757385255
1024,silu,float16,False,FP8MLP,Backward Time (ms),1.0641024112701416
1024,silu,float16,False,FP8MLP,Forward Peak Memory (GB),0.070517248
1024,silu,float16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.5901247978210449
1024,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.9720895767211915
1024,silu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.070517248
1024,silu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
1024,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.2920448064804077
1024,silu,bfloat16,False,FP8MLP,Backward Time (ms),0.9966752290725707
1024,silu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.070517248
1024,silu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.6107135772705078
1024,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.0614784240722654
1024,silu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.070517248
1024,silu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.094635008
2048,relu,float32,False,FP8MLP,Forward Time (ms),1.3325119972229005
