dim,activation,dtype,competitor,measurement,value
512,silu,float16,MLP,Forward Time (ms),0.23548479080200196
512,silu,float16,MLP,Backward Time (ms),0.979593563079834
512,silu,float16,MLP,Forward Peak Memory (GB),0.027001344
512,silu,float16,MLP,Backward Peak Memory (GB),0.03119616
512,silu,float16,PreCompiledMLP,Forward Time (ms),0.3137120008468628
512,silu,float16,PreCompiledMLP,Backward Time (ms),1.035100769996643
512,silu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.027001344
512,silu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.029099008
512,silu,bfloat16,MLP,Forward Time (ms),0.2385727882385254
512,silu,bfloat16,MLP,Backward Time (ms),0.9572544097900391
512,silu,bfloat16,MLP,Forward Peak Memory (GB),0.027001344
512,silu,bfloat16,MLP,Backward Peak Memory (GB),0.03119616
512,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.4619232177734375
512,silu,bfloat16,PreCompiledMLP,Backward Time (ms),0.9609631538391114
512,silu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.027001344
512,silu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.029099008
1024,relu,float32,MLP,Forward Time (ms),0.3704832077026367
1024,relu,float32,MLP,Backward Time (ms),0.7462911605834961
1024,relu,float32,MLP,Forward Peak Memory (GB),0.071565824
1024,relu,float32,MLP,Backward Peak Memory (GB),0.09673216
1024,relu,float32,PreCompiledMLP,Forward Time (ms),0.4949920177459717
1024,relu,float32,PreCompiledMLP,Backward Time (ms),1.2259199619293213
1024,relu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.065274368
1024,relu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.09673216
1024,relu,float16,MLP,Forward Time (ms),0.19311360120773316
1024,relu,float16,MLP,Backward Time (ms),0.8350879788398743
1024,relu,float16,MLP,Forward Peak Memory (GB),0.044302848
1024,relu,float16,MLP,Backward Peak Memory (GB),0.056886272
1024,relu,float16,PreCompiledMLP,Forward Time (ms),0.5126399993896484
1024,relu,float16,PreCompiledMLP,Backward Time (ms),1.0452639579772949
1024,relu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.04115712
1024,relu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
1024,relu,bfloat16,MLP,Forward Time (ms),0.19262080192565917
1024,relu,bfloat16,MLP,Backward Time (ms),0.790121603012085
1024,relu,bfloat16,MLP,Forward Peak Memory (GB),0.044302848
1024,relu,bfloat16,MLP,Backward Peak Memory (GB),0.056886272
1024,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.5043200016021728
1024,relu,bfloat16,PreCompiledMLP,Backward Time (ms),1.026867151260376
1024,relu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.04115712
1024,relu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
1024,relu2,float32,MLP,Forward Time (ms),0.39590399265289306
1024,relu2,float32,MLP,Backward Time (ms),1.0742527723312378
1024,relu2,float32,MLP,Forward Peak Memory (GB),0.08834304
1024,relu2,float32,MLP,Backward Peak Memory (GB),0.121897984
1024,relu2,float32,PreCompiledMLP,Forward Time (ms),0.41457600593566896
