dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,8,silu,float16,False,MLP,mps,Backward Time (ms),3.0272250005509704
128,8,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.0884666990023106
128,8,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),3.150183305842802
128,8,silu,bfloat16,False,MLP,mps,Forward Time (ms),1.0452999966219068
128,8,silu,bfloat16,False,MLP,mps,Backward Time (ms),1.0092875047121197
128,8,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.5539665988180786
128,8,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.8116167038679123
512,2,relu,float32,False,MLP,mps,Forward Time (ms),1.5547916002105922
512,2,relu,float32,False,MLP,mps,Backward Time (ms),3.618804196594283
512,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.2136542005464435
512,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),2.219737396808341
512,2,relu,float16,False,MLP,mps,Forward Time (ms),1.3758665998466313
512,2,relu,float16,False,MLP,mps,Backward Time (ms),1.6600458999164402
512,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),3.9480916981119663
512,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.9902374993544072
512,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),1.3055916992016137
512,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),2.059379097772762
512,2,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),1.267733401618898
512,2,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),1.8411707947961986
512,2,relu2,float32,False,MLP,mps,Forward Time (ms),0.9765999973751605
512,2,relu2,float32,False,MLP,mps,Backward Time (ms),1.5997666982002556
512,2,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.8776624978054315
512,2,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),1.4090250013396144
512,2,relu2,float16,False,MLP,mps,Forward Time (ms),1.1995333014056087
512,2,relu2,float16,False,MLP,mps,Backward Time (ms),1.6727042035199702
512,2,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.0627458977978677
512,2,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),1.441116601927206
512,2,relu2,bfloat16,False,MLP,mps,Forward Time (ms),1.7400500015355647
512,2,relu2,bfloat16,False,MLP,mps,Backward Time (ms),3.0074332957156003
512,2,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.693095797440037
512,2,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),2.1241042006295174
512,2,silu,float32,False,MLP,mps,Forward Time (ms),1.5383374993689358
512,2,silu,float32,False,MLP,mps,Backward Time (ms),2.210775000276044
512,2,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.070449996041134
512,2,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),2.406600007088855
512,2,silu,float16,False,MLP,mps,Forward Time (ms),1.694408303592354
512,2,silu,float16,False,MLP,mps,Backward Time (ms),1.7621041974052787
512,2,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.0462917038239539
512,2,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),1.5427082951646298
