lr,beta1,beta2,weight_decay,class,device,measurement,value
0.01,0.9,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,16.802682525897527
0.01,0.95,0.99,0.1,AdamW,mps,avg_step_time_ms,5.250966711901128
0.01,0.95,0.99,0.1,AdamW,mps,loss_reduction_pct,93.33711512309176
0.01,0.95,0.99,0.1,AdamW,mps,loss_reduction_per_ms,17.77522506694749
0.01,0.95,0.99,0.01,AdamW,mps,avg_step_time_ms,5.212591780582443
0.01,0.95,0.99,0.01,AdamW,mps,loss_reduction_pct,93.30693091817365
0.01,0.95,0.99,0.01,AdamW,mps,loss_reduction_per_ms,17.900295063533203
0.01,0.95,0.99,0.001,AdamW,mps,avg_step_time_ms,5.271908396389335
0.01,0.95,0.99,0.001,AdamW,mps,loss_reduction_pct,93.46950771708744
0.01,0.95,0.99,0.001,AdamW,mps,loss_reduction_per_ms,17.729729101724065
0.01,0.95,0.999,0.1,AdamW,mps,avg_step_time_ms,5.4957127082161605
0.01,0.95,0.999,0.1,AdamW,mps,loss_reduction_pct,93.3247872638831
0.01,0.95,0.999,0.1,AdamW,mps,loss_reduction_per_ms,16.98138025380427
0.01,0.95,0.999,0.01,AdamW,mps,avg_step_time_ms,5.34207058371976
0.01,0.95,0.999,0.01,AdamW,mps,loss_reduction_pct,93.40370413337823
0.01,0.95,0.999,0.01,AdamW,mps,loss_reduction_per_ms,17.484550731701468
0.01,0.95,0.999,0.001,AdamW,mps,avg_step_time_ms,11.89294169889763
0.01,0.95,0.999,0.001,AdamW,mps,loss_reduction_pct,93.46892510282663
0.01,0.95,0.999,0.001,AdamW,mps,loss_reduction_per_ms,7.85919308016875
0.01,0.95,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.089229403529316
0.01,0.95,0.9999,0.1,AdamW,mps,loss_reduction_pct,93.27129411944877
0.01,0.95,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,18.32719390773902
0.01,0.95,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.131137592252344
0.01,0.95,0.9999,0.01,AdamW,mps,loss_reduction_pct,93.38785521357214
0.01,0.95,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,18.200224323468
0.01,0.95,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.225200101267546
0.01,0.95,0.9999,0.001,AdamW,mps,loss_reduction_pct,93.4704087698019
0.01,0.95,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,17.888388379064665
0.001,0.8,0.99,0.1,AdamW,mps,avg_step_time_ms,5.190604197559878
0.001,0.8,0.99,0.1,AdamW,mps,loss_reduction_pct,95.3692780729009
0.001,0.8,0.99,0.1,AdamW,mps,loss_reduction_per_ms,18.373444486045447
0.001,0.8,0.99,0.01,AdamW,mps,avg_step_time_ms,5.116137501318008
0.001,0.8,0.99,0.01,AdamW,mps,loss_reduction_pct,95.36333577127394
0.001,0.8,0.99,0.01,AdamW,mps,loss_reduction_per_ms,18.639713210738893
0.001,0.8,0.99,0.001,AdamW,mps,avg_step_time_ms,5.748237587977201
0.001,0.8,0.99,0.001,AdamW,mps,loss_reduction_pct,95.36268639448345
0.001,0.8,0.99,0.001,AdamW,mps,loss_reduction_per_ms,16.589899936276204
0.001,0.8,0.999,0.1,AdamW,mps,avg_step_time_ms,5.290483304997906
0.001,0.8,0.999,0.1,AdamW,mps,loss_reduction_pct,95.37839322714382
0.001,0.8,0.999,0.1,AdamW,mps,loss_reduction_per_ms,18.028294907771485
0.001,0.8,0.999,0.01,AdamW,mps,avg_step_time_ms,5.212933488655835
0.001,0.8,0.999,0.01,AdamW,mps,loss_reduction_pct,95.37231542302351
0.001,0.8,0.999,0.01,AdamW,mps,loss_reduction_per_ms,18.295325584062923
0.001,0.8,0.999,0.001,AdamW,mps,avg_step_time_ms,5.226399889215827
0.001,0.8,0.999,0.001,AdamW,mps,loss_reduction_pct,95.37178725735629
0.001,0.8,0.999,0.001,AdamW,mps,loss_reduction_per_ms,18.248084585748366
0.001,0.8,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.162649881094694
0.001,0.8,0.9999,0.1,AdamW,mps,loss_reduction_pct,95.3804028931736
0.001,0.8,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,18.47508645559149
0.001,0.8,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.272158200386912
0.001,0.8,0.9999,0.01,AdamW,mps,loss_reduction_pct,95.37316473108473
0.001,0.8,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,18.089966405804272
0.001,0.8,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.304141499800608
0.001,0.8,0.9999,0.001,AdamW,mps,loss_reduction_pct,95.37243060789767
0.001,0.8,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,17.980747800842586
0.001,0.9,0.99,0.1,AdamW,mps,avg_step_time_ms,5.174975097179413
0.001,0.9,0.99,0.1,AdamW,mps,loss_reduction_pct,95.12431629750995
0.001,0.9,0.99,0.1,AdamW,mps,loss_reduction_per_ms,18.381598850467288
0.001,0.9,0.99,0.01,AdamW,mps,avg_step_time_ms,6.301979313138872
0.001,0.9,0.99,0.01,AdamW,mps,loss_reduction_pct,95.11892153612119
0.001,0.9,0.99,0.01,AdamW,mps,loss_reduction_per_ms,15.093499487979852
0.001,0.9,0.99,0.001,AdamW,mps,avg_step_time_ms,5.235458305105567
0.001,0.9,0.99,0.001,AdamW,mps,loss_reduction_pct,95.11823050537271
0.001,0.9,0.99,0.001,AdamW,mps,loss_reduction_per_ms,18.1680809897033
0.001,0.9,0.999,0.1,AdamW,mps,avg_step_time_ms,5.211445799795911
0.001,0.9,0.999,0.1,AdamW,mps,loss_reduction_pct,95.13701242200537
0.001,0.9,0.999,0.1,AdamW,mps,loss_reduction_per_ms,18.25539707728153
0.001,0.9,0.999,0.01,AdamW,mps,avg_step_time_ms,5.508583405753598
0.001,0.9,0.999,0.01,AdamW,mps,loss_reduction_pct,95.13014425811001
0.001,0.9,0.999,0.01,AdamW,mps,loss_reduction_per_ms,17.2694388467911
0.001,0.9,0.999,0.001,AdamW,mps,avg_step_time_ms,5.247641704045236
0.001,0.9,0.999,0.001,AdamW,mps,loss_reduction_pct,95.12938469792307
0.001,0.9,0.999,0.001,AdamW,mps,loss_reduction_per_ms,18.12802589486834
0.001,0.9,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.227754096267745
0.001,0.9,0.9999,0.1,AdamW,mps,loss_reduction_pct,95.13818283797185
0.001,0.9,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,18.198672142190837
0.001,0.9,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.127224890748039
0.001,0.9,0.9999,0.01,AdamW,mps,loss_reduction_pct,95.13135020454156
0.001,0.9,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,18.554159848967018
0.001,0.9,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.871762702008709
0.001,0.9,0.9999,0.001,AdamW,mps,loss_reduction_pct,95.13069249875593
0.001,0.9,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,16.20138573825745
0.001,0.95,0.99,0.1,AdamW,mps,avg_step_time_ms,7.8359668084885925
0.001,0.95,0.99,0.1,AdamW,mps,loss_reduction_pct,94.87769017876967
0.001,0.95,0.99,0.1,AdamW,mps,loss_reduction_per_ms,12.107974994992322
0.001,0.95,0.99,0.01,AdamW,mps,avg_step_time_ms,5.082299985224381
0.001,0.95,0.99,0.01,AdamW,mps,loss_reduction_pct,94.87036005755867
0.001,0.95,0.99,0.01,AdamW,mps,loss_reduction_per_ms,18.666816270856195
0.001,0.95,0.99,0.001,AdamW,mps,avg_step_time_ms,5.573266791179776
0.001,0.95,0.99,0.001,AdamW,mps,loss_reduction_pct,94.86970727633482
0.001,0.95,0.99,0.001,AdamW,mps,loss_reduction_per_ms,17.022279899909893
0.001,0.95,0.999,0.1,AdamW,mps,avg_step_time_ms,5.100545909954235
0.001,0.95,0.999,0.1,AdamW,mps,loss_reduction_pct,94.89981269529939
0.001,0.95,0.999,0.1,AdamW,mps,loss_reduction_per_ms,18.60581482270216
0.001,0.95,0.999,0.01,AdamW,mps,avg_step_time_ms,5.121941899415106
0.001,0.95,0.999,0.01,AdamW,mps,loss_reduction_pct,94.89354351582256
0.001,0.95,0.999,0.01,AdamW,mps,loss_reduction_per_ms,18.526868398616315
0.001,0.95,0.999,0.001,AdamW,mps,avg_step_time_ms,5.092841701116413
0.001,0.95,0.999,0.001,AdamW,mps,loss_reduction_pct,94.89278995539469
0.001,0.95,0.999,0.001,AdamW,mps,loss_reduction_per_ms,18.632581871648014
0.001,0.95,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.192774994065985
0.001,0.95,0.9999,0.1,AdamW,mps,loss_reduction_pct,94.90126805587583
0.001,0.95,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,18.275636468809783
0.001,0.95,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.247350101126358
0.001,0.95,0.9999,0.01,AdamW,mps,loss_reduction_pct,94.89496325466651
0.001,0.95,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,18.08435904330017
0.001,0.95,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.911958392243832
0.001,0.95,0.9999,0.001,AdamW,mps,loss_reduction_pct,94.8942807837212
0.001,0.95,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,16.05124300404707
0.0001,0.8,0.99,0.1,AdamW,mps,avg_step_time_ms,6.653979100519791
0.0001,0.8,0.99,0.1,AdamW,mps,loss_reduction_pct,68.17133408350779
0.0001,0.8,0.99,0.1,AdamW,mps,loss_reduction_per_ms,10.245198106826397
0.0001,0.8,0.99,0.01,AdamW,mps,avg_step_time_ms,9.738429205026478
0.0001,0.8,0.99,0.01,AdamW,mps,loss_reduction_pct,68.17823584123055
0.0001,0.8,0.99,0.01,AdamW,mps,loss_reduction_per_ms,7.000947935837582
0.0001,0.8,0.99,0.001,AdamW,mps,avg_step_time_ms,7.786558096995577
0.0001,0.8,0.99,0.001,AdamW,mps,loss_reduction_pct,68.17893244781727
0.0001,0.8,0.99,0.001,AdamW,mps,loss_reduction_per_ms,8.755978135464492
0.0001,0.8,0.999,0.1,AdamW,mps,avg_step_time_ms,4.986579186515883
0.0001,0.8,0.999,0.1,AdamW,mps,loss_reduction_pct,68.15284011616934
0.0001,0.8,0.999,0.1,AdamW,mps,loss_reduction_per_ms,13.667253154318734
0.0001,0.8,0.999,0.01,AdamW,mps,avg_step_time_ms,4.995150002650917
0.0001,0.8,0.999,0.01,AdamW,mps,loss_reduction_pct,68.15974313023922
0.0001,0.8,0.999,0.01,AdamW,mps,loss_reduction_per_ms,13.645184447727692
0.0001,0.8,0.999,0.001,AdamW,mps,avg_step_time_ms,44.22114581102505
0.0001,0.8,0.999,0.001,AdamW,mps,loss_reduction_pct,68.16044450593509
0.0001,0.8,0.999,0.001,AdamW,mps,loss_reduction_per_ms,1.54135410233856
0.0001,0.8,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.439787590876222
0.0001,0.8,0.9999,0.1,AdamW,mps,loss_reduction_pct,68.15126530431304
0.0001,0.8,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,12.528295299363975
0.0001,0.8,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.115954205393791
0.0001,0.8,0.9999,0.01,AdamW,mps,loss_reduction_pct,68.1583476304626
0.0001,0.8,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,13.322704796419544
0.0001,0.8,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.550408299313858
0.0001,0.8,0.9999,0.001,AdamW,mps,loss_reduction_pct,68.15904875951362
0.0001,0.8,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,12.28000627772545
0.0001,0.9,0.99,0.1,AdamW,mps,avg_step_time_ms,5.023758189054206
0.0001,0.9,0.99,0.1,AdamW,mps,loss_reduction_pct,67.52481898812121
0.0001,0.9,0.99,0.1,AdamW,mps,loss_reduction_per_ms,13.441096574919685
0.0001,0.9,0.99,0.01,AdamW,mps,avg_step_time_ms,5.843895999714732
0.0001,0.9,0.99,0.01,AdamW,mps,loss_reduction_pct,67.53040889784697
0.0001,0.9,0.99,0.01,AdamW,mps,loss_reduction_per_ms,11.55571709372368
0.0001,0.9,0.99,0.001,AdamW,mps,avg_step_time_ms,5.262091691838577
0.0001,0.9,0.99,0.001,AdamW,mps,loss_reduction_pct,67.5309729482502
0.0001,0.9,0.99,0.001,AdamW,mps,loss_reduction_per_ms,12.833484648887756
0.0001,0.9,0.999,0.1,AdamW,mps,avg_step_time_ms,9.767058293800801
0.0001,0.9,0.999,0.1,AdamW,mps,loss_reduction_pct,67.51946046336592
0.0001,0.9,0.999,0.1,AdamW,mps,loss_reduction_per_ms,6.9129781385886515
0.0001,0.9,0.999,0.01,AdamW,mps,avg_step_time_ms,5.949291703291237
0.0001,0.9,0.999,0.01,AdamW,mps,loss_reduction_pct,67.52509542880844
0.0001,0.9,0.999,0.01,AdamW,mps,loss_reduction_per_ms,11.350106667563898
0.0001,0.9,0.999,0.001,AdamW,mps,avg_step_time_ms,5.477970698848367
0.0001,0.9,0.999,0.001,AdamW,mps,loss_reduction_pct,67.52566268623681
0.0001,0.9,0.999,0.001,AdamW,mps,loss_reduction_per_ms,12.32676595010498
0.0001,0.9,0.9999,0.1,AdamW,mps,avg_step_time_ms,7.0951459056232125
0.0001,0.9,0.9999,0.1,AdamW,mps,loss_reduction_pct,67.51892256502285
0.0001,0.9,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,9.516213403238286
0.0001,0.9,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.794587597483769
0.0001,0.9,0.9999,0.01,AdamW,mps,loss_reduction_pct,67.52454702172544
0.0001,0.9,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,11.653037577867867
0.0001,0.9,0.9999,0.001,AdamW,mps,avg_step_time_ms,12.743658403633162
0.0001,0.9,0.9999,0.001,AdamW,mps,loss_reduction_pct,67.52511942593782
0.0001,0.9,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,5.298723277664654
0.0001,0.95,0.99,0.1,AdamW,mps,avg_step_time_ms,5.949254200095311
0.0001,0.95,0.99,0.1,AdamW,mps,loss_reduction_pct,66.9295590261546
0.0001,0.95,0.99,0.1,AdamW,mps,loss_reduction_per_ms,11.250075517882957
0.0001,0.95,0.99,0.01,AdamW,mps,avg_step_time_ms,10.91051260009408
0.0001,0.95,0.99,0.01,AdamW,mps,loss_reduction_pct,66.93435621938062
0.0001,0.95,0.99,0.01,AdamW,mps,loss_reduction_per_ms,6.134849816204186
0.0001,0.95,0.99,0.001,AdamW,mps,avg_step_time_ms,6.854541809298098
0.0001,0.95,0.99,0.001,AdamW,mps,loss_reduction_pct,66.9348300080511
0.0001,0.95,0.99,0.001,AdamW,mps,loss_reduction_per_ms,9.765033443556337
0.0001,0.95,0.999,0.1,AdamW,mps,avg_step_time_ms,5.553050100570545
0.0001,0.95,0.999,0.1,AdamW,mps,loss_reduction_pct,66.93084132815575
0.0001,0.95,0.999,0.1,AdamW,mps,loss_reduction_per_ms,12.052987118066698
0.0001,0.95,0.999,0.01,AdamW,mps,avg_step_time_ms,7.925820897798985
0.0001,0.95,0.999,0.01,AdamW,mps,loss_reduction_pct,66.93558464425831
0.0001,0.95,0.999,0.01,AdamW,mps,loss_reduction_per_ms,8.445255766862767
0.0001,0.95,0.999,0.001,AdamW,mps,avg_step_time_ms,5.548216705210507
0.0001,0.95,0.999,0.001,AdamW,mps,loss_reduction_pct,66.9360659478886
0.0001,0.95,0.999,0.001,AdamW,mps,loss_reduction_per_ms,12.064428897491839
0.0001,0.95,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.291449808282778
0.0001,0.95,0.9999,0.1,AdamW,mps,loss_reduction_pct,66.93154073968518
0.0001,0.95,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,12.648998509806582
0.0001,0.95,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.7304459100123495
0.0001,0.95,0.9999,0.01,AdamW,mps,loss_reduction_pct,66.93599907887692
